"","Identifiant","Date (AAAA/MM/JJ)","Heure","Intensité épicentrale","Qualité intensité épicentrale","Nom","Région épicentrale","Choc"
"","240004","2000/02/23","15 h 46 min 40 sec","5","A","RIBERACOIS (CHAMPAGNE-ET-FONTAINE)","AQUITAINE",""
"","640562","2000/03/13","4 h 16 min 8 sec","5","A","PAYS BASQUE (LOHITZUN-OYHERCQ)","PYRENEES OCCIDENTALES",""
"","1120282","2000/03/28","3 h 9 min 40 sec","","I","JURA SUISSE (ST-URSANNE)","SUISSE",""
"","1130565","2000/04/26","13 h 37 min 49 sec","","","EST SARDAIGNE","MEDITERRANEE",""
"","570021","2000/06/14","2 h 25 min 21 sec","4.5","B","BASSIN SARROIS (HAM-SOUS-VARSBERG)","LORRAINE",""
"","1130566","2000/06/27","4 h 7 min 57 sec","","","EST SARDAIGNE","MEDITERRANEE",""
"","740155","2000/08/19","8 h 37 min 26 sec","4.5","A","FAUCIGNY (MAGLAND)","ALPES SAVOYARDES",""
"","1120283","2000/11/13","16 h 30 min 41 sec","5","I","JURA SUISSE (SOLOTHURN)","SUISSE",""
"","60170","2000/12/19","14 h 20 min 50 sec","4","A","ALPES NICOISES (LA TRINITE)","ALPES MARITIMES",""
"","60171","2000/12/20","5 h 45 min 15 sec","3.5","B","ALPES NICOISES (CONTES)","ALPES MARITIMES","REPLIQUE"
"","1120281","2001/02/23","22 h 19 min 54 sec","5","C","VALAIS (MARTIGNY)","SUISSE",""
"","1130568","2001/02/25","18 h 34 min 44 sec","5.5","C","MEDITERRANEE (S-E NICE)","ALPES MARITIMES",""
"","570022","2001/03/16","10 h 13 min 55 sec","4.5","B","BASSIN SARROIS (FORBACH)","LORRAINE",""
"","790045","2001/04/05","17 h 26 min 59 sec","5","A","MELLOIS (SEPVRET)","POITOU",""
"","850058","2001/06/08","13 h 26 min 53 sec","5","A","BOCAGE VENDEEN (CHANTONNAY)","PAYS NANTAIS ET VENDEEN",""
"","570023","2001/06/21","19 h 55 min 49 sec","5.5","B","BASSIN SARROIS (ROSBRUCK)","LORRAINE",""
"","170117","2001/06/25","6 h 49 min 18 sec","4","C","ILE D'OLERON","CHARENTES",""
"","40207","2001/07/01","19 h 37 min 25 sec","3.5","I","UBAYE (LARCHE)","ALPES PROVENCALES",""
"","640563","2001/12/12","12 h 10 min 52 sec","4.5","B","PAYS BASQUE (E. MENDIVE)","PYRENEES OCCIDENTALES",""
"","120017","2002/02/18","6 h 11 min 44 sec","4.5","B","LEVEZOU (N-W. MILLAU)","QUERCY-ROUERGUE",""
"","850060","2002/03/14","13 h 32 min 47 sec","4","A","BOCAGE VENDEEN (BOURNEZEAU)","PAYS NANTAIS ET VENDEEN",""
"","290040","2002/04/23","6 h 45 min 38 sec","4","A","CORNOUAILLE (MELGVEN)","BRETAGNE",""
"","650500","2002/05/16","14 h 56 min 35 sec","6","B","LAVEDAN (AUCUN)","PYRENEES CENTRALES",""
"","650501","2002/05/16","15 h 14 min 46 sec","5","A","LAVEDAN (SIREIX)","PYRENEES CENTRALES",""
"","370032","2002/08/06","17 h 25 min 14 sec","4","A","VALLEE DE LA LOIRE (LANGEAIS)","TOURAINE",""
"","640564","2002/09/05","20 h 42 min 16 sec","5","A","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",""
"","560053","2002/09/30","6 h 44 min 48 sec","5.5","A","VANNETAIS (HENNEBONT-BRANDERION)","BRETAGNE",""
"","560054","2002/09/30","6 h 50 min 54 sec","","","VANNETAIS (HENNEBONT-BRANDERION)","BRETAGNE","REPLIQUE"
"","560055","2002/09/30","7 h 3 min 38 sec","","","VANNETAIS (HENNEBONT-BRANDERION)","BRETAGNE","REPLIQUE"
"","560056","2002/09/30","10 h 6 min 50 sec","","","VANNETAIS (HENNEBONT-BRANDERION)","BRETAGNE","REPLIQUE"
"","650499","2002/12/09","13 h 44 min 54 sec","3.5","B","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","640565","2002/12/11","20 h 9 min 53 sec","5","A","OSSAU (ARUDY)","PYRENEES OCCIDENTALES",""
"","640566","2002/12/12","17 h 59 min 51 sec","5","A","BEARN (ARTHEZ-D'ASSON)","PYRENEES OCCIDENTALES",""
"","640567","2003/01/21","18 h 1 min 1 sec","5","A","OSSAU (LOUVIE-JUZON)","PYRENEES OCCIDENTALES",""
"","850061","2003/02/14","4 h 49 min 17 sec","5","A","PLAINE VENDEENNE (S.S-O. FONTENAY-LE-COMTE)","PAYS NANTAIS ET VENDEEN",""
"","880077","2003/02/22","20 h 41 min 6 sec","6.5","A","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES",""
"","880078","2003/02/22","20 h 54 min 26 sec","","","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES","REPLIQUE"
"","880079","2003/02/23","0 h 16 min 42 sec","","","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES","REPLIQUE"
"","880080","2003/02/23","4 h 53 min 47 sec","","","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES","REPLIQUE"
"","880081","2003/02/23","23 h 58 min 53 sec","","","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES","REPLIQUE"
"","730223","2003/05/25","23 h 3 min 32 sec","4","C","MAURIENNE (S.S-E. ST-JEAN-DE-MAURIENNE)","ALPES SAVOYARDES",""
"","630096","2003/08/19","19 h 53 min 40 sec","4","A","COMBRAILLE (PONTAUMUR)","AUVERGNE",""
"","1130569","2003/09/01","19 h 28 min 13 sec","4","C","PIEMONT (ENTRACQUE)","ITALIE",""
"","1140125","2004/02/03","21 h 16 min 13 sec","4.5","C","RIBAGORZA","ESPAGNE",""
"","250038","2004/02/23","17 h 31 min 21 sec","5.5","A","JURA (S. BAUME-LES-DAMES)","FRANCHE-COMTE",""
"","1130570","2004/06/12","4 h 44 min 34 sec","4.5","E","VAL D'AOSTE (E. PETIT SAINT-BERNARD)","ITALIE",""
"","1120295","2004/06/21","23 h 10 min 1 sec","5","C","JURA SUISSE (BALE)","SUISSE",""
"","1120308","2004/06/28","23 h 42 min 30 sec","","","JURA SUISSE (N-E. AARAU)","SUISSE",""
"","310038","2004/07/18","2 h 16 min 2 sec","4","B","HAUT-COMMINGES","PYRENEES CENTRALES",""
"","560060","2004/07/18","14 h 23 min 9 sec","4","B","ATLANTIQUE (ILE DE GROIX)","BRETAGNE",""
"","1140127","2004/09/18","12 h 52 min 18 sec","5","B","NAVARRE (E. PAMPLUNE)","ESPAGNE",""
"","1140126","2004/09/21","15 h 48 min 2 sec","6","C","CERDAGNE","ESPAGNE",""
"","560061","2004/11/04","13 h 58 min 35 sec","4","B","PAYS DE REDON (LA GACILLY)","BRETAGNE",""
"","1110221","2004/12/05","1 h 52 min 39 sec","6","C","BADEN-WURTTEMBERG (WALDKIRCH)","ALLEMAGNE",""
"","1140128","2005/01/15","7 h 13 min 7 sec","4.5","C","VAL D'ARAN (N. VIELLA)","ESPAGNE",""
"","240005","2005/01/31","6 h 55 min 41 sec","4","B","RIBERACOIS (SW. NONTRON)","GUYENNE",""
"","1140129","2005/02/26","20 h 36 min 50 sec","4.5","C","VAL D'ARAN","ESPAGNE",""
"","170132","2005/04/04","17 h 7 min 55 sec","4","B","ILE D'OLERON","CHARENTES",""
"","730224","2005/04/10","8 h 4 min 39 sec","4","B","TARENTAISE (MOUTIERS)","ALPES SAVOYARDES",""
"","170131","2005/04/18","6 h 42 min 50 sec","4.5","B","ILE D'OLERON","CHARENTES",""
"","1120297","2005/05/12","1 h 38 min 6 sec","4","C","JURA SUISSE (N.E SOLOTHURN)","SUISSE",""
"","850063","2005/06/22","19 h 41 min 38 sec","4.5","B","ILE DE NOIRMOUTIER","PAYS NANTAIS ET VENDEEN",""
"","740157","2005/09/08","11 h 27 min 18 sec","5","A","MASSIF DU MONT-BLANC (VALLORCINE)","ALPES SAVOYARDES",""
"","370035","2005/09/09","21 h 37 min 37 sec","4","A","PLATEAU DE SAINTE-MAURE (W. LES ORMES)","TOURAINE",""
"","1110223","2005/09/22","19 h 43 min 59 sec","4","E","SAARE (N-W. SAARBRUCKEN)","ALLEMAGNE",""
"","740158","2005/10/31","3 h 39 min 59 sec","5","C","VALLEE DE L'ARLY (N. ALBERTVILLE)","ALPES SAVOYARDES",""
"","650503","2005/11/05","0 h 30 min 9 sec","4.5","C","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",""
"","1120298","2005/11/12","19 h 31 min 16 sec","5","C","JURA SUISSE (N-E. AARAU)","SUISSE",""
"","10038","2006/01/11","10 h 32 min 8 sec","4.5","B","BUGEY (N-O. BELLEY)","BRESSE ET JURA BRESSAN",""
"","660098","2006/02/07","14 h 59 min 19 sec","3.5","C","PAYS DE MONTLOUIS (E. MONTLOUIS)","PYRENEES ORIENTALES",""
"","640570","2006/05/04","9 h 42 min 6 sec","4","B","BEARN (E. ARETTE)","PYRENEES OCCIDENTALES",""
"","110018","2006/05/08","21 h 47 min 57 sec","3","C","PLATEAUX DE SAULT ET DE QUERIGUT (MAZUBY)","LANGUEDOC",""
"","650504","2006/05/20","5 h 36 min 6 sec","4.5","C","BIGORRE (E. ARGELES-GAZOST)","PYRENEES CENTRALES",""
"","160050","2006/08/24","20 h 0 min 59 sec","5","A","SAINTONGE (E. MATHA)","CHARENTES",""
"","1130572","2006/09/02","1 h 21 min 31 sec","4.5","C","PIEMONT (N. SAN REMO)","ITALIE",""
"","230045","2006/09/13","13 h 5 min 3 sec","4","A","HAUTE-MARCHE (N-E. LA SOUTERRAINE)","LIMOUSIN",""
"","640571","2006/11/04","16 h 44 min 57 sec","4","B","BEARN (E. ARUDY)","PYRENEES OCCIDENTALES",""
"","490105","2006/11/05","0 h 37 min 40 sec","4","A","SAUMUROIS (CANDES-SAINT-MARTIN)","ANJOU",""
"","650505","2006/11/17","18 h 19 min 50 sec","6","A","BIGORRE (GAZOST)","PYRENEES CENTRALES",""
"","680137","2006/12/08","16 h 48 min 39 sec","4","C","PLAINE DE HAUTE ALSACE (HUNINGUE)","ALSACE",""
"","650506","2006/12/16","8 h 17 min 1 sec","5","B","BIGORRE (W. ARGELES-GAZOST)","PYRENEES CENTRALES",""
"","370036","2007/01/08","11 h 36 min 55 sec","3.5","B","CHINONAIS (S-E. CHINON)","TOURAINE",""
"","880083","2007/05/26","13 h 40 min 23 sec","3.5","B","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES",""
"","850065","2007/07/22","13 h 29 min 57 sec","4","B","BOCAGE VENDEEN (N-E. LA ROCHE-SUR-YON)","PAYS NANTAIS ET VENDEEN",""
"","880084","2007/08/19","7 h 32 min 55 sec","4","A","PAYS FORESTIER SOUS-VOSGIEN (RAMBERVILLERS)","VOSGES",""
"","50103","2007/10/05","6 h 5 min 22 sec","3.5","E","BRIANCONNAIS (N-O. BRIANCON)","ALPES DAUPHINOISES",""
"","850066","2007/10/28","13 h 48 min 53 sec","3","B","MARAIS BRETON (S-O. NANTES)","PAYS NANTAIS ET VENDEEN",""
"","650508","2007/11/15","13 h 47 min 35 sec","5","B","BIGORRE (E. ARGELES-GAZOST)","PYRENEES CENTRALES",""
"","640572","2007/11/24","5 h 24 min 53 sec","4","B","PAYS BASQUE (S-E. SAINT-JEAN-PIED-DE-PORT)","PYRENEES OCCIDENTALES",""
